timestamp,batch_id,time_min,moisture_raw,red,green,blue,moisture_status,color_status,final_status,readiness_score
2026-05-11 04:59:21,BATCH_001,460,517,9790,9780,9765,PASS,PASS,PASS,100
2026-05-11 04:59:29,BATCH_001,465,517,9764,9767,9767,PASS,PASS,PASS,100
2026-05-11 04:59:38,BATCH_001,470,517,10349,10368,10359,PASS,PASS,PASS,100
2026-05-11 04:59:47,BATCH_001,475,515,9789,9759,9793,PASS,PASS,PASS,100
2026-05-11 04:59:55,BATCH_001,480,516,9769,9762,9771,PASS,PASS,PASS,100
2026-05-11 05:00:04,BATCH_001,485,515,9785,9740,9775,PASS,PASS,PASS,100
2026-05-11 05:00:12,BATCH_001,490,515,9762,9761,9746,PASS,PASS,PASS,100
2026-05-11 05:00:21,BATCH_001,495,516,10068,10074,9984,PASS,PASS,PASS,100
2026-05-11 05:00:30,BATCH_001,500,516,10081,10061,10048,PASS,PASS,PASS,100
2026-05-11 05:00:38,BATCH_001,505,516,10082,10092,10061,PASS,PASS,PASS,100
2026-05-11 05:00:47,BATCH_001,510,517,10064,10042,10042,PASS,PASS,PASS,100
2026-05-11 05:00:55,BATCH_001,515,517,10015,10024,10008,PASS,PASS,PASS,100
2026-05-11 05:01:04,BATCH_001,520,517,9998,10001,9996,PASS,PASS,PASS,100
2026-05-11 05:01:13,BATCH_001,525,517,9985,9987,10001,PASS,PASS,PASS,100
2026-05-11 05:01:22,BATCH_001,530,517,9987,10006,9993,PASS,PASS,PASS,100
2026-05-11 05:01:30,BATCH_001,535,517,9989,9980,10012,PASS,PASS,PASS,100
2026-05-11 05:01:39,BATCH_001,540,517,9528,9550,9517,PASS,PASS,PASS,100
2026-05-11 05:01:47,BATCH_001,545,517,10051,10037,10032,PASS,PASS,PASS,100
2026-05-11 05:01:56,BATCH_001,550,517,9996,9989,9997,PASS,PASS,PASS,100
2026-05-11 05:02:04,BATCH_001,555,516,10029,10012,10026,PASS,PASS,PASS,100
2026-05-11 05:02:13,BATCH_001,560,517,10013,10013,10008,PASS,PASS,PASS,100
2026-05-11 05:02:21,BATCH_001,565,517,9992,10007,9997,PASS,PASS,PASS,100
2026-05-11 05:02:30,BATCH_001,570,516,9563,9568,9727,PASS,PASS,PASS,100
2026-05-11 05:02:39,BATCH_001,575,517,9951,9941,9942,PASS,PASS,PASS,100
2026-05-11 05:02:48,BATCH_001,580,516,9841,9846,9874,PASS,PASS,PASS,100
2026-05-11 05:02:57,BATCH_001,585,517,9643,9611,9646,PASS,PASS,PASS,100
2026-05-11 05:03:06,BATCH_001,590,516,9654,9613,9611,PASS,PASS,PASS,100
2026-05-11 05:03:14,BATCH_001,595,517,9621,9650,9623,PASS,PASS,PASS,100
2026-05-11 05:03:23,BATCH_001,600,517,9650,9651,9657,PASS,PASS,PASS,100
2026-05-11 05:03:31,BATCH_001,605,516,9639,9618,9619,PASS,PASS,PASS,100
2026-05-11 05:03:40,BATCH_001,610,517,9589,9613,9608,PASS,PASS,PASS,100
2026-05-11 05:03:50,BATCH_001,615,516,9611,9612,9612,PASS,PASS,PASS,100
2026-05-11 05:03:59,BATCH_001,620,517,9565,9561,9553,PASS,PASS,PASS,100
2026-05-11 05:04:09,BATCH_001,625,517,9598,9571,9584,PASS,PASS,PASS,100
2026-05-11 05:04:18,BATCH_001,630,516,9611,9617,9594,PASS,PASS,PASS,100
2026-05-11 05:04:26,BATCH_001,635,517,9619,9621,9634,PASS,PASS,PASS,100
2026-05-11 05:04:35,BATCH_001,640,517,9621,9637,9631,PASS,PASS,PASS,100
2026-05-11 05:04:44,BATCH_001,645,517,9627,9594,9613,PASS,PASS,PASS,100
2026-05-11 05:04:52,BATCH_001,650,517,9561,9556,9566,PASS,PASS,PASS,100
2026-05-11 05:05:01,BATCH_001,655,517,10001,9999,10005,PASS,PASS,PASS,100
2026-05-11 05:05:10,BATCH_001,660,516,9621,9599,9628,PASS,PASS,PASS,100
2026-05-11 05:05:18,BATCH_001,665,515,9612,9621,9613,PASS,PASS,PASS,100
2026-05-11 05:05:27,BATCH_001,670,516,9572,9541,9560,PASS,PASS,PASS,100
2026-05-11 05:05:35,BATCH_001,675,515,9619,9622,9633,PASS,PASS,PASS,100
2026-05-11 05:05:45,BATCH_001,680,516,9636,9640,9638,PASS,PASS,PASS,100
2026-05-11 05:05:57,BATCH_001,685,516,9647,9655,9633,PASS,PASS,PASS,100
2026-05-11 05:06:08,BATCH_001,690,516,9648,9579,9623,PASS,PASS,PASS,100
2026-05-11 05:06:20,BATCH_001,695,516,9567,9602,9628,PASS,PASS,PASS,100
2026-05-11 05:06:31,BATCH_001,700,515,9678,9645,9657,PASS,PASS,PASS,100
2026-05-11 05:06:43,BATCH_001,705,515,9614,9638,9574,PASS,PASS,PASS,100
2026-05-11 05:06:54,BATCH_001,710,515,9588,9577,9570,PASS,PASS,PASS,100
2026-05-11 05:07:06,BATCH_001,715,514,9605,9668,9558,PASS,PASS,PASS,100
2026-05-11 05:07:18,BATCH_001,720,515,9617,9630,9660,PASS,PASS,PASS,100
2026-05-11 05:07:29,BATCH_001,725,516,9665,9677,9718,PASS,PASS,PASS,100
2026-05-11 05:07:41,BATCH_001,730,516,9636,9646,9645,PASS,PASS,PASS,100
2026-05-11 05:07:52,BATCH_001,735,515,9624,9641,9644,PASS,PASS,PASS,100
2026-05-11 05:08:04,BATCH_001,740,515,9615,9579,9580,PASS,PASS,PASS,100
2026-05-11 05:08:15,BATCH_001,745,515,9578,9603,9525,PASS,PASS,PASS,100
2026-05-11 05:08:26,BATCH_001,750,515,9652,9611,9518,PASS,PASS,PASS,100
